"id","name_dev","name_roman","aka"
"m_dirdhoṣa","दिर्धोष","dirdhoṣa","दिघवे/dirghauṣa"
"m_sarisaba","सरिसब","sarisaba",""
"m_mahua","महुआ","mahuā",""
"m_parvapallī","पर्वपल्ली","parvapallī","पवौली/pavaulī"
"m_khaṇḍabalā","खण्डबला","khaṇḍabalā",""
"m_gaṃgolī","गंगोली","gaṃgolī",""
"m_yamuśāma","यमुशाम","yamuśāma",""
"m_kariana","करिअन","kariana",""
"m_mohari","मोहरी","mohari",""
"m_sajhuāla","सझुआल","sajhuāla",""
"m_maṛāra","मड़ार","maṛāra",""
"m_paṇḍolī","पण्डोली","paṇḍolī",""
"m_jajivāla","जजिवाल","jajivāla",""
"m_dahibhata","दहिभत","dahibhata",""
"m_tilaya","तिलय","tilaya",""
"m_māhaba","माहब","māhaba",""
"m_simmuāla","सिम्मुआल","simmuāla",""
"m_siṃhāśrama","सिंहाश्रम","siṃhāśrama",""
"m_sodarapura","सोदरपुर","sodarapura",""
"m_kaṛariyā","कड़रिया","kaṛariyā",""
"m_allāri","अल्लारि","allāri",""
"m_hoiyāra","होइयार","hoiyāra",""
"m_talhanapura","तल्हनपुर","talhanapura",""
"m_parisarā","परिसरा","parisarā",""
"m_parasaṛā","परसड़ा","parasaṛā",""
"m_vīranāma","वीरनाम","vīranāma",""
"m_uttamapura","उत्तमपुर","uttamapura",""
"m_kodariyā","कोदरिया","kodariyā",""
"m_chatimana","छतिमन","chatimana",""
"m_varevā","वरेवा","varevā","बरेबा/barebā/baraivā"
"m_machheāla","मछेआल","machheāla",""
"m_gaṃgaura","गंगौर","gaṃgaura",""
"m_bhaṭora","भटोर","bhaṭora",""
"m_budhaurā","बुधौरा","budhaurā",""
"m_brahmapurā","ब्रह्मपुरा","brahmapurā",""
"m_koiāra","कोइआर","koiāra","कोइयार/koiyāra"
"m_kerahivāra","केरहिवार","kerahivāra",""
"m_gaṃguāla","गंगुआल","gaṃguāla",""
"m_ghoṣiyāma","घोषियाम","ghoṣiyāma",""
"m_chataunī","छतौनी","chataunī",""
"m_bhiguāla","भिगुआल","bhiguāla",""
"m_nanautī","ननौती","nanautī",""
"m_tapanapura","तपनपुर","tapanapura",""
"m_pallī","पल्ली","pallī","पाली/pālī"
"m_hariamba","हरिअम्ब","hariamba",""
"m_tisurī","तिसुरी","tisurī",""
"m_rāuṛha","राउढ़","rāuṛha",""
"m_ṭakavāla","टकवाल","ṭakavāla",""
"m_ghusauta","घुसौत","ghusauta",""
"m_pahaddī","पहद्दी","pahaddī",""
