"id","name_dev","name_roman","village_dev","village_roman","titles","source_ref","source_file"
"7fc4b08da161","शुभंकर","śubhaṃkara","गढ़ माण्डर","gar̤ha māṇḍara","कविराज","351-5","Panji_1_merged.docx"
"24a0582aa935","अनिरूद्ध","anirūddha","नडुआल माण्डर","naḍuāla māṇḍara","","91/05","Panji_1_merged.docx"
"639d30e6082d","ज्योतिष","jyotiṣa","","","","","Panji_1_merged.docx"
"b3701dc66568","विश्वास कान्ह विश्वास धाम","viśvāsa kānha viśvāsa dhāma","करमौली गंगोली","karamaulī gaṃgolī","","345","Panji_1_merged.docx"
"07aa014f1426","देवनानन्द","devanānanda","बैगनी अलय","baiganī alaya","","224-2","Panji_1_merged.docx"
"e63118739abe","महिपाणि","mahipāṇi","उचति भण्डारिसम","ucati bhaṇḍārisama","वीजी","06/01","Panji_1_merged.docx"
"25dc0f20ee2f","जगदगुरू गुंरू गंगेश सुताय वभनियामसँ जयादित्य","jagadagurū guṃrū gaṃgeśa sutāya vabhaniyāmasa~ jayāditya","देवानन्द पञ्जी ३९-२ छादन","devānanda pañjī 39-2 chādana","","","Panji_1_merged.docx"
"cc6cbd28d02c","कृष्णानन्द","kṛṣṇānanda","परियाम्ब वुधदान","pariyāmba vudhadāna","कवि","107/10","Panji_1_merged.docx"
"41cdc537d376","नवलक्षाधिपति","navalakṣādhipati","कोदरिया","kodariyā","","401//","Panji_1_merged.docx"
"bd01b94d75ee","बालक-पीताम्बर,","bālaka-pītāmbara,","","","","","Panji_1_merged.docx"
"4826a1b463c9","वैया.","vaiyā.","नरसाम बलियास","narasāma baliyāsa","","184-3","Panji_1_merged.docx"
"8ac7e7ad73c4","घमंडी","ghamaṃḍī","गंगोली जालय","gaṃgolī jālaya","","354-7","Panji_1_merged.docx"
"97cbd134b142","शूलपाणि","śūlapāṇi","हरिपुर पाली","haripura pālī","","350=7","Panji_1_merged.docx"
"52cc889e8ae9","पाँ","pā~","सकराढ़ी हरड़ी","sakarār̤hī harar̤ī","","166-4","Panji_1_merged.docx"
"7d5437746ea6","हसौली","hasaulī","","","","","Panji_1_merged.docx"
"072575e2e798","दामोदर","dāmodara","सोदरपुर","sodarapura","म.म.","131//01","Panji_1_merged.docx"
"a743528be86f","नारायण","nārāyaṇa","फेनसउ गंगोली","phenasau gaṃgolī","","394-1","Panji_1_merged.docx"
"f756ab595967","प्रथम छठि- करमहा बेहट मूलक शंकरदत्त","prathama chaṭhi- karamahā behaṭa mūlaka śaṃkaradatta","","","","","Panji_1_merged.docx"
"9c949014cb28","भवदेव","bhavadeva","परहर सकराढ़ी","parahara sakarāढ़ī","म.","","Panji_1_merged.docx"
"7b3254319035","वुद्धिकर","vuddhikara","नरौंछ वासी गढ़ बेलउँच","narauṃcha vāsī gar̤ha belau~ca","","419=2","Panji_1_merged.docx"
"fd8912c0e10d","मातक","mātaka","जगौर माण्डर","jagaura māṇḍara","","126/06","Panji_1_merged.docx"
"f2524e42e46b","रामेश्वर","rāmeśvara","जालय","jālaya","मōमō","19-6","Panji_1_merged.docx"
"b3d572af17f2","वाछाप्र.","vāchāpra.","","","","61/01","Panji_1_merged.docx"
"1e94b6aa9f68","वामदेव","vāmadeva","रजौरा माण्डर","rajaurā māṇḍara","म.म.","","Panji_1_merged.docx"
"dbda70e61479","कविगंगाधर","kavigaṃgādhara","खण्डवला","khaṇḍavalā","","136/04","Panji_1_merged.docx"
"876b1a6a7c04","मथुरेश","mathureśa","सन्दहपूर दिघो","sandahapūra digho","","270=7","Panji_1_merged.docx"
"a080ecbcc3ec","गंगादित्य","gaṃgāditya","तेरहोत सकराढी","terahota sakarāḍhī","वीजी","04/08","Panji_1_merged.docx"
"d9de404b6686","वलियास राघव","valiyāsa rāghava","","","मिश्र","60/02","Panji_1_merged.docx"
"a001cf127ea2","मिश्र-नगराम","miśra-nagarāma","जमुनी जजिवाल","jamunī jajivāla","","76=6","Panji_1_merged.docx"
"f1d84b95c0f1","रामनाथ","rāmanātha","६१//०७ रतौली दरिहरा","61//07 rataulī dariharā","","","Panji_1_merged.docx"
"1349d5baf821","भवेश","bhaveśa","मलि. नरउन","mali. narauna","","","Panji_1_merged.docx"
"5fc6988ee4f5","पत्नी","patnī","देवानन्द पञ्जी ३०=५ छादन","devānanda pañjī 30=5 chādana","","","Panji_1_merged.docx"
"13fd3a20f8b4","बाभन","bābhana","११२//०४ महिषी पाली","112//04 mahiṣī pālī","","","Panji_1_merged.docx"
"c3c6b0645b95","दयाराम","dayārāma","आहिलखौआल","āhilakhauāla","","324-4","Panji_1_merged.docx"
"0007721ad583","रत्नेश्वर सन्धि विग्राहिक हिमू","ratneśvara sandhi vigrāhika himū","","","","27=3","Panji_1_merged.docx"
"f4b94728ed51","क्षेत्रो","kṣetro","सुरगन","suragana","","72/05","Panji_1_merged.docx"
"e784e025789d","राय","rāya","","","","","Panji_1_merged.docx"
"194c83922d24","गोशाँइ","gośā~i","नगराम काको बेलउँच","nagarāma kāko belau~ca","","493-2","Panji_1_merged.docx"
"5e5102488e42","किर्ति नारायण","kirti nārāyaṇa","जगतपुर उइनि","jagatapura uini","","162=8","Panji_1_merged.docx"
"47dd5db8184e","चाण","cāṇa","१४३//०६ वहि. पबौली","143//06 vahi. pabaulī","","","Panji_1_merged.docx"
