"id","name_dev","name_roman"
"f6cb39174711","गढ़ माण्डर","gar̤ha māṇḍara"
"38777b191f3b","नडुआल माण्डर","naḍuāla māṇḍara"
"8be8e4be55ea","करमौली गंगोली","karamaulī gaṃgolī"
"be347153b4c3","बैगनी अलय","baiganī alaya"
"1776d5fd497a","उचति भण्डारिसम","ucati bhaṇḍārisama"
"c5b1f62a5828","देवानन्द पञ्जी ३९-२ छादन","devānanda pañjī 39-2 chādana"
"dda003a8af8c","परियाम्ब वुधदान","pariyāmba vudhadāna"
"872df9f07ee8","कोदरिया","kodariyā"
"7506e1529289","नरसाम बलियास","narasāma baliyāsa"
"f70337544621","गंगोली जालय","gaṃgolī jālaya"
"90b053a888d1","हरिपुर पाली","haripura pālī"
"333879bc2851","सकराढ़ी हरड़ी","sakarār̤hī harar̤ī"
"70b09e33c4f2","सोदरपुर","sodarapura"
"22e3ceba138a","फेनसउ गंगोली","phenasau gaṃgolī"
"fc1826ded839","परहर सकराढ़ी","parahara sakarāढ़ī"
"36534d71b1ad","नरौंछ वासी गढ़ बेलउँच","narauṃcha vāsī gar̤ha belau~ca"
"1de4a6a977a4","जगौर माण्डर","jagaura māṇḍara"
"c3a752a3a65f","जालय","jālaya"
"3c47ed5cc998","रजौरा माण्डर","rajaurā māṇḍara"
"025fe7420701","खण्डवला","khaṇḍavalā"
"b7c93a5072c9","सन्दहपूर दिघो","sandahapūra digho"
"944f50492127","तेरहोत सकराढी","terahota sakarāḍhī"
"81819f88287f","जमुनी जजिवाल","jamunī jajivāla"
"6ceba14c46c5","६१//०७ रतौली दरिहरा","61//07 rataulī dariharā"
"60650d405ff0","मलि. नरउन","mali. narauna"
"b233f5111b43","देवानन्द पञ्जी ३०=५ छादन","devānanda pañjī 30=5 chādana"
"1235d60a31e0","११२//०४ महिषी पाली","112//04 mahiṣī pālī"
"733eba678783","आहिलखौआल","āhilakhauāla"
"e1301b6bada4","सुरगन","suragana"
"e3559e7f9921","नगराम काको बेलउँच","nagarāma kāko belau~ca"
"a261786a6422","जगतपुर उइनि","jagatapura uini"
"13a44d3e49b1","१४३//०६ वहि. पबौली","143//06 vahi. pabaulī"
"be68091fe22e","सुल्हनी नरउन","sulhanī narauna"
"f440a4fc13eb","खण्डबाला","khaṇḍabālā"
"607acb571d80","परमगढ़ अलय","paramagar̤ha alaya"
"e9564ea33173","बेला","belā"
"e14af30ae642","दिघोय","dighoya"
"0cc9744dd618","पनिचोभ","panicobha"
"9311f56f3f52","खौआल","khauāla"
"9969680c24b4","रोहाड़ सोदरपुर","rohār̤a sodarapura"
"2e03c76bb251","वहिष्कृतां तत: श्री मत्यां बासुदेवा सुतो जाता बुधवाल","vahiṣkṛtāṃ tata: śrī matyāṃ bāsudevā suto jātā budhavāla"
"0a0588196bd4","कुरिसमा सकराढ़ी","kurisamā sakarār̤hī"
"db6db9d91b8e","महिन्द्रपुर पण्डुआ","mahindrapura paṇḍuā"
"4cd0466e8601","निखूति","nikhūti"
"199254d90da2","डूमरा बूधवाल","ḍūmarā būdhavāla"
"193630cba9aa","वधवास सरिसव","vadhavāsa sarisava"
"172e50f2181e","दरिहरा","dariharā"
"c0f0f3f74a6e","पाली","pālī"
"2a0b747bcea5","नरउन","narauna"
"518f35c74d04","वलियास","valiyāsa"
"66886dfc604e","ओझोलि नरउन","ojholi narauna"
"5418a23396de","तिसउँत","tisau~ta"
"8e7fe445e20c","गढ़ विस्फी","gar̤ha visphī"
